all_data	field_site	chimp_group	subject	 subject_no	subject_sex	subject_age	subject_age_class	subject_dob	subject_rank	caregiver_no	date_survey	year_survey	general_risk	food_risk	snake_risk	escape_risk	hierarchy_risk	strangers_risk	total_risk	ranking_risk
1	uganda	ngamba_chimps	afrika	subject1	female	9	juvenile	2009	46	caregiver1	05.11.18	2018	3	2	1	1	2	1	1.666666667	32
2	uganda	ngamba_chimps	asega	subject2	male	20	young_adult	1998	10	caregiver1	05.11.18	2018	4	4	2	4	4	3	3.5	17
3	uganda	ngamba_chimps	bahati	subject3	female	28	adult	1990	40	caregiver1	05.11.18	2018	1	1	0	0	2	2	1	1
4	uganda	ngamba_chimps	baluku	subject4	male	20	young_adult	1998	15	caregiver1	05.11.18	2018	3	3	2	2	3	2	2.5	25
5	uganda	ngamba_chimps	baron	subject5	male	16	young_adult	2002	33	caregiver1	05.11.18	2018	3	3	2	1	3	2	2.333333333	18
6	uganda	ngamba_chimps	becky	subject6	female	27	adult	1991	25	caregiver1	05.11.18	2018	3	3	1	2	3	0	2	39
7	uganda	ngamba_chimps	bili	subject7	female	20	young_adult	1998	42	caregiver1	05.11.18	2018	2	1	1	0	2	3	1.5	27
8	uganda	ngamba_chimps	bwambale	subject8	male	18	young_adult	2000	5	caregiver1	05.11.18	2018	4	4	1	1	4	3	2.833333333	21
9	uganda	ngamba_chimps	cindy	subject9	female	25	adult	1993	37	caregiver1	05.11.18	2018	2	2	1	0	2	2	1.5	12
10	uganda	ngamba_chimps	cocoa	subject10	female	11	adolescent	2007	47	caregiver1	05.11.18	2018	1	1	0	0	1	1	0.666666667	13
11	uganda	ngamba_chimps	connie	subject11	female	29	adult	1989	22	caregiver1	05.11.18	2018	3	3	1	1	3	4	2.5	7
12	uganda	ngamba_chimps	easy	subject12	male	3	infant	2015	49	caregiver1	05.11.18	2018	3	3	0	0	2	3	1.833333333	2
13	uganda	ngamba_chimps	eddy	subject13	male	29	adult	1989	17	caregiver1	05.11.18	2018	3	3	1	0	4	2	2.166666667	43
14	uganda	ngamba_chimps	ikuru	subject14	female	23	adult	1995	38	caregiver1	05.11.18	2018	2	2	1	1	3	1	1.666666667	9
15	uganda	ngamba_chimps	indi	subject15	male	19	young_adult	1999	6	caregiver1	05.11.18	2018	4	4	1	1	4	2	2.666666667	23
16	uganda	ngamba_chimps	kalema	subject16	male	22	adult	1996	3	caregiver1	06.11.18	2018	3	4	2	2	4	3	3	10
