"Estimate";"SE";"BCI_LI_95";"BCI_UI_95"
"beta_Intercept";-1,358;0,231;-1,817;-0,911
"beta_subject_sex1";0,384;0,375;-0,377;1,125
"beta_age_b1";0,174;0,183;-0,179;0,532
"beta_age_b2";0,069;0,126;-0,182;0,318
"beta_age_b3";-0,106;0,137;-0,359;0,171
"beta_chimp_group1";0,233;0,101;0,038;0,433
"beta_chimp_group2";-0,22;0,135;-0,479;0,033
"beta_rel_rank_b";0,589;0,094;0,407;0,767
"beta_rel_rank_b:subject_sex1";-0,022;0,201;-0,42;0,385
"sigma";0,652;0,068;0,519;0,783
"nu";19,191;12,837;4,46;51,242
"simo_morel_rank_b1[1]";0,384;0,108;0,17;0,592
"simo_morel_rank_b1[2]";0,144;0,089;0,01;0,344
"simo_morel_rank_b1[3]";0,249;0,103;0,048;0,441
"simo_morel_rank_b1[4]";0,223;0,112;0,021;0,448
"simo_morel_rank_b:subject_sex11[1]";0,239;0,191;0,009;0,721
"simo_morel_rank_b:subject_sex11[2]";0,216;0,173;0,006;0,623
"simo_morel_rank_b:subject_sex11[3]";0,246;0,19;0,009;0,703
"simo_morel_rank_b:subject_sex11[4]";0,299;0,212;0,014;0,763
