"Estimate";"SE";"BCI_LI_95";"BCI_UI_95"
"beta_Intercept";-1,352;0,206;-1,751;-0,959
"beta_subject_sex1";0,359;0,22;-0,054;0,783
"beta_age_b1";0,165;0,183;-0,205;0,526
"beta_age_b2";0,08;0,121;-0,158;0,322
"beta_age_b3";-0,105;0,134;-0,368;0,149
"beta_chimp_group1";0,233;0,105;0,02;0,43
"beta_chimp_group2";-0,217;0,137;-0,49;0,06
"beta_rel_rank_b";0,591;0,085;0,418;0,754
"sigma";0,652;0,068;0,521;0,791
"nu";19,359;12,777;4,505;51,539
"simo_morel_rank_b1[1]";0,382;0,091;0,205;0,562
"simo_morel_rank_b1[2]";0,141;0,088;0,008;0,334
"simo_morel_rank_b1[3]";0,252;0,105;0,051;0,461
"simo_morel_rank_b1[4]";0,225;0,093;0,047;0,402
