"Estimate";"SE";"BCI_LI_95";"BCI_UI_95"
"beta_Intercept";-0,125;0,011;-0,146;-0,104
"beta_gender1";-0,363;0,01;-0,382;-0,343
"beta_age_b1";0,397;0,014;0,371;0,423
"beta_age_b2";0,107;0,01;0,086;0,128
"beta_age_b3";-0,155;0,009;-0,172;-0,136
"beta_age_b4";-0,173;0,01;-0,192;-0,155
"beta_income_b";0,17;0,008;0,155;0,186
"sigma";0,947;0,003;0,94;0,954
"nu";213,864;33,751;156,825;287,239
"simo_moincome_b1[1]";0,247;0,018;0,214;0,283
"simo_moincome_b1[2]";0,06;0,016;0,027;0,091
"simo_moincome_b1[3]";0,09;0,022;0,047;0,133
"simo_moincome_b1[4]";0,269;0,037;0,197;0,34
"simo_moincome_b1[5]";0,335;0,042;0,249;0,411
