"Estimate";"SE";"BCI_LI_95";"BCI_UI_95"
"beta_Intercept";-0,122;0,01;-0,142;-0,102
"beta_gender1";-0,389;0,013;-0,413;-0,363
"beta_age_b1";0,396;0,013;0,369;0,421
"beta_age_b2";0,108;0,01;0,087;0,129
"beta_age_b3";-0,153;0,009;-0,171;-0,135
"beta_age_b4";-0,173;0,009;-0,191;-0,154
"beta_income_b";0,183;0,009;0,165;0,2
"beta_income_b:gender1";0,039;0,013;0,016;0,067
"sigma";0,946;0,003;0,94;0,953
"nu";214,233;34,015;155,631;291,063
"simo_moincome_b1[1]";0,229;0,017;0,198;0,264
"simo_moincome_b1[2]";0,053;0,015;0,023;0,083
"simo_moincome_b1[3]";0,102;0,021;0,061;0,142
"simo_moincome_b1[4]";0,279;0,036;0,211;0,351
"simo_moincome_b1[5]";0,337;0,04;0,257;0,41
"simo_moincome_b:gender11[1]";0,052;0,051;0,002;0,181
"simo_moincome_b:gender11[2]";0,141;0,108;0,008;0,404
"simo_moincome_b:gender11[3]";0,381;0,168;0,064;0,719
"simo_moincome_b:gender11[4]";0,24;0,159;0,012;0,586
"simo_moincome_b:gender11[5]";0,185;0,142;0,007;0,53
