"Estimate";"SE";"BCI_LI_95";"BCI_UI_95"
"beta_Intercept";0,042;0,005;0,032;0,053
"beta_gender1";-0,417;0,01;-0,437;-0,397
"beta_age_b1";0,358;0,013;0,333;0,385
"beta_age_b2";0,133;0,01;0,114;0,153
"beta_age_b3";-0,094;0,009;-0,111;-0,076
"beta_age_b4";-0,105;0,009;-0,123;-0,087
"beta_leadership_b";0,269;0,017;0,234;0,302
"beta_leadership_b:gender1";0,016;0,031;-0,044;0,078
"sigma";0,953;0,003;0,946;0,959
"nu";214,104;33,59;157,623;287,174
"simo_moleadership_b1[1]";0,405;0,056;0,303;0,52
"simo_moleadership_b1[2]";0,595;0,056;0,48;0,697
"simo_moleadership_b:gender11[1]";0,454;0,274;0,02;0,957
"simo_moleadership_b:gender11[2]";0,546;0,274;0,043;0,98
